K,variant,true_count,adjusted_count,est,orig
15,original,2.866539,2.866539,5.780333,4.065271
15,n=25,2.817086,3.366539,5.637755,4.114967
15,n=50,2.263664,3.866539,5.642624,4.078267
15,n=100,2.921178,4.366539,5.689434,4.034927
15,n=200,2.541611,4.866539,5.675314,4.067932
25,original,4.896320,4.896320,5.646661,4.079360
25,n=25,4.986729,5.396320,5.547799,4.122302
25,n=50,4.211515,5.896320,5.548359,4.093547
25,n=100,5.149128,6.396320,5.583756,4.052731
25,n=200,4.574629,6.896320,5.566817,4.082659
35,original,6.986429,6.986429,5.554832,4.090627
35,n=25,7.234052,7.486429,5.481889,4.125056
35,n=50,6.253687,7.986429,5.480158,4.101577
35,n=100,7.373821,8.486429,5.512033,4.064463
35,n=200,6.683307,8.986429,5.491829,4.091483
